"500333f","haydy778","Thu, 3 Jul 2025 17:51:09 +1200","Adds footer section and updates button styling","Introduces a footer element with copyright and attribution details, including corresponding styles for layout and appearance.	
Adjusts button padding and text color for improved consistency with the design theme.	",
 2 files changed, 38 insertions(+), 2 deletions(-)	
"7970b4d","haydy778","Thu, 3 Jul 2025 13:59:58 +1200","Removes carousel demo and updates museum page styles","Eliminates outdated carousel demo files to streamline project.	Enhances museum page layout and styling with consistent theme
colors, responsive design improvements, and title animations.	Introduces CSS variables for easier theme management.
",	 16 files changed, 389 insertions(+), 499 deletions(-)
	"30084c1","haydy778","Thu, 3 Jul 2025 11:13:58 +1200","Adds image sliders and updates styling for profiles section","Integrates Swiper.js to create interactive sliders for the profiles section, enhancing user experience with carousel functionality.
	Updates HTML structure and CSS styling for consistency, including adjustments to background colors, typography, and layout.
	Improves visual presentation of Old Boys Profiles and timeline carousel while maintaining responsiveness across devices.
",	 23 files changed, 690 insertions(+), 273 deletions(-)
	"95a0011","haydy778","Wed, 2 Jul 2025 14:59:49 +1200","Adds interactive features and improves layout for ANZAC page","Enhances the ANZAC page with new sections, including WW1/WW2 boards, Old Boys profiles, and an interactive map. Introduces a dynamic "Poppy Field" feature, allowing users to plant poppies interactively. Refines carousel and timeline styles for better responsiveness and visual clarity. Updates test.html to test the interactive poppy planting functionality.
",	 5 files changed, 382 insertions(+), 241 deletions(-)
	"230a839","haydy778","Wed, 2 Jul 2025 13:19:05 +1200","Adds timeline carousel and improves styling","Introduces a responsive timeline carousel with historical event details, enhancing interactivity and user experience. Updates HTML structure, adds new external scripts and styles, and improves CSS for better layout and design consistency.
",	 7 files changed, 517 insertions(+), 2 deletions(-)
	"61cca20","haydy778","Wed, 2 Jul 2025 11:37:31 +1200","Add ANZAC page with new logo, styles, and content updates","",
 22 files changed, 369 insertions(+), 93 deletions(-)	
"d22f9d8","haydy778","Mon, 30 Jun 2025 12:23:43 +1200","Setting ANZAC page up with a new logo and some styling changes, along with adding nav bar in.","",	 6 files changed, 127 insertions(+), 32 deletions(-)
	"9896f57","haydy778","Mon, 17 Feb 2025 15:05:57 +1300","Change header to JS","",
 8 files changed, 109 insertions(+), 552 deletions(-)	
